Ticker,Nome,Setor,Subsetor,Segmento,Desc_Bazin,Desc_Graham,Desc_Gordon,Indice_PEG,Preco,DY,LPA,VPA,Risco,Payout,ROE,CAGR_lucros_5anos,Cresc_esperado,Media_Crescimento
TELB4,Telebras,Comunicações,Telecomunicações,Telecomunicações,0.0,0.0,0.0,0.27,11.8,0.0,0.0,18.37,0.0881,0.0,-0.042800000000000005,0.0,-0.042800000000000005,-0.042800000000000005
TEND3,Tenda,Consumo Cíclico,Construção Civil,Incorporações,0.0,0.0,0.0,0.31,10.03,0.0,0.0,5.5,0.0881,0.0,-0.0646,0.0,-0.0646,-0.0646
TESA3,,,,,0.0,0.0,0.0,0.83,48.0,0.0,0.0,29.64,0.0881,0.0,-0.12179999999999999,0.0,-0.12179999999999999,-0.12179999999999999
TFCO4,Track Field,Consumo Cíclico,Tecidos. Vestuário e Calçados,Vestuário,1.7973999999999999,-12.486789682313555,20.28792569659443,6.74,14.19,0.0076,0.12,0.41,0.0881,0.8986999999999999,0.29109999999999997,0.275,0.029488430000000013,0.15224421500000002
TGMA3,Tegma,Bens Industriais,Transporte,Transporte Rodoviário,19.484616666666668,0.06158678397617599,1.7423468553484986,0.22,26.39,0.0443,2.83,12.42,0.0881,0.4131014134275618,0.22820000000000001,0.1251,0.1339302574558304,0.1295151287279152
TIET11,,,,,0.0,0.3387925602815436,inf,0.02,12.54,0.0,2.87,5.57,0.0881,0.0,0.5145000000000001,0.2378,0.5145000000000001,0.37615000000000004
TIET3,,,,,0.0,0.07501380599047255,inf,0.03,3.49,0.0,0.57,1.11,0.0881,0.0,0.5145000000000001,0.2378,0.5145000000000001,0.37615000000000004
TIET4,,,,,0.0,0.06971302550904271,inf,0.03,3.51,0.0,0.57,1.11,0.0881,0.0,0.5145000000000001,0.2378,0.5145000000000001,0.37615000000000004
TIMS3,Tim,Comunicações,Telecomunicações,Telecomunicações,15.137999999999998,-0.15814844255476393,1.7396755177220842,2.72,17.4,0.052199999999999996,0.95,10.56,0.0881,0.9560842105263156,0.0897,0.1318,0.003939246315789486,0.06786962315789474
TKNO3,Tekno,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,0.0,0.5013741994394174,0.0,-0.16,69.63,0.0,9.1,95.24,0.0881,0.0,0.0955,0.0,0.0955,0.0955
TKNO4,Tekno,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,52.480000000000004,0.5416910636812109,-0.790650406504065,-0.14,64.0,0.0492,9.1,95.24,0.0881,0.34602197802197804,0.0955,0.0,0.0624549010989011,0.0624549010989011
TOTS3,Totvs,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,7.314533333333335,-1.2102947110628668,22.03459322184355,0.42,32.27,0.013600000000000001,1.24,7.64,0.0881,0.3539290322580646,0.1623,0.5241,0.10485731806451612,0.3144786590322581
TOYB3,,,,,0.0,0.0,0.0,0.47,2.29,0.0,0.0,0.0,0.0881,0.0,-0.1131,0.0,-0.1131,-0.1131
TOYB4,,,,,0.0,0.0,0.0,0.52,2.5,0.0,0.0,0.0,0.0881,0.0,-0.1131,0.0,-0.1131,-0.1131
TPIS3,Triunfo Part,Bens Industriais,Transporte,Exploração de Rodovias,0.0,0.0,0.0,0.0,4.08,0.0,0.0,19.5,0.0881,0.0,-0.0727,0.0,-0.0727,-0.0727
TRAD3,Tc,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.0,0.0,0.0,-0.02,0.78,0.0,0.0,1.7,0.0881,0.0,-0.24050000000000002,0.0,-0.24050000000000002,-0.24050000000000002
TRIS3,Trisul,Consumo Cíclico,Construção Civil,Incorporações,2.28525,0.482717952663032,5.670783426431262,0.1,4.95,0.0277,0.57,7.14,0.0881,0.24055263157894738,0.0801,0.2498,0.060831734210526324,0.15531586710526316
TRPL3,Tran Paulist,Utilidade Pública,Energia Elétrica,Energia Elétrica,36.75685000000001,0.18857140871588932,1.4302698891095442,-1.25,38.09,0.0579,3.59,27.28,0.0881,0.6143206128133706,0.13140000000000002,0.1159,0.05067827147632311,0.08328913573816156
TRPL4,Tran Paulist,Utilidade Pública,Energia Elétrica,Energia Elétrica,36.74323333333333,0.4314248069999235,1.3016056486615328,-0.87,26.69,0.08259999999999999,3.59,27.28,0.0881,0.6140930362116991,0.13140000000000002,0.1159,0.050708175041782745,0.08330408752089137
TRPN3,,,,,0.0,0.8966116866284438,0.0,0.0,0.71,0.0,1.6,1.31,0.0881,0.0,1.2235,0.0,1.2235,1.2235
TTEN3,3tentos,Consumo não Cíclico,Agropecuária,Agricultura,1.9191666666666667,0.12563730737661563,-7.9897959183673475,0.43,11.75,0.0098,1.26,6.37,0.0881,0.0913888888888889,0.1974,0.0,0.17935983333333333,0.17935983333333333
TUPY3,Tupy,Bens Industriais,Material de Transporte,Material Rodoviário,16.758,0.3035665809939595,3.7640453329408405,-0.45,26.46,0.038,2.83,22.67,0.0881,0.35529328621908124,0.1247,0.2158,0.08039492720848058,0.14809746360424028
TXRX3,Tex Renaux,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,0.0,0.0,0.0,-0.01,4.2,0.0,0.0,0.0,0.0881,0.0,-0.0834,0.0,-0.0834,-0.0834
TXRX4,Tex Renaux,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,0.0,0.0,0.0,-0.01,2.67,0.0,0.0,0.0,0.0881,0.0,-0.0834,0.0,-0.0834,-0.0834
UCAS3,Unicasa,Consumo Cíclico,Utilidades Domésticas,Móveis,0.0,0.28579028137663987,0.0,-0.2,2.68,0.0,0.21,2.98,0.0881,0.0,0.0691,0.0,0.0691,0.0691
UGPA3,Ultrapar,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,5.819100000000001,-0.24274647433554333,-0.6757829257829264,0.24,27.71,0.0126,1.94,11.39,0.0881,0.1799721649484536,0.1703,0.06559999999999999,0.13965074030927835,0.10262537015463917
UNIP3,Unipar,Materiais Básicos,Químicos,Químicos Diversos,52.68899999999999,-0.0020062945623313152,3.1048867362040515,-0.16,67.55,0.046799999999999994,7.47,27.04,0.0881,0.4232048192771084,0.2761,0.207,0.1592531493975904,0.18312657469879517
UNIP5,Unipar,Materiais Básicos,Químicos,Químicos Diversos,59.16596666666667,-0.14974845139195128,3.150844961885363,-0.18,77.51,0.0458,7.47,27.04,0.0881,0.4752286479250335,0.2761,0.207,0.14488937030789825,0.17594468515394912
UNIP6,Unipar,Materiais Básicos,Químicos,Químicos Diversos,58.05885,-0.08329414791838727,3.0651718921247304,-0.17,73.03,0.04769999999999999,7.47,27.04,0.0881,0.46633614457831324,0.2761,0.207,0.14734459048192775,0.17717229524096387
USIM3,Usiminas,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,4.9764,0.0,-1.3368700265251992,0.26,7.92,0.0377,0.0,18.71,0.0881,inf,-0.0155,0.0,0.0,0.0
USIM5,Usiminas,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,5.485216666666666,0.0,-1.2191435768261967,0.27,8.29,0.0397,0.0,18.71,0.0881,inf,-0.0155,0.0,0.0,0.0
USIM6,Usiminas,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,5.4809333333333345,0.0,-3.3613861386138613,0.52,16.28,0.0202,0.0,18.71,0.0881,inf,-0.0155,0.0,0.0,0.0
VALE3,Vale,Materiais Básicos,Mineração,Minerais Metálicos,101.28125000000001,0.30096223519856086,2.230581784952787,-0.12,69.45,0.0875,10.47,41.9,0.0881,0.5804083094555874,0.24989999999999998,0.2194,0.1048559634670487,0.16212798173352436
VAMO3,Vamos,Consumo Cíclico,Diversos,Aluguel de carros,5.606250000000001,-0.1810711265987298,8.524299599771297,0.73,8.97,0.0375,0.58,4.42,0.0881,0.5799568965517242,0.1324,0.5158,0.05561370689655171,0.28570685344827584
