Ticker,Nome,Setor,Subsetor,Segmento
APER3,Alper S.A.,Financeiro,Previdência e Seguros,Corretoras de Seguros e Resseguros
APTI3,Aliperti,Consumo não Cíclico,Agropecuária,Agricultura
APTI4,Aliperti,Consumo não Cíclico,Agropecuária,Agricultura
ARML3,Armac,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ARZZ3,Arezzo Co,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
ASAI3,Assai,Consumo não Cíclico,Comércio e Distribuição,Alimentos
ATMP3,Atmasa,Bens Industriais,Serviços,Serviços Diversos
ATOM3,Atompar,Outros,Outros,Outros
AURA33,Aura 360,Materiais Básicos,Mineração,Minerais Metálicos
AVLL3,Alphaville,Consumo Cíclico,Construção Civil,Incorporações
AZEV3,Azevedo,Bens Industriais,Construção e Engenharia,Construção Pesada
AZEV4,Azevedo,Bens Industriais,Construção e Engenharia,Construção Pesada
AZUL4,Azul,Bens Industriais,Transporte,Transporte Aéreo
B3SA3,B3,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BAHI3,Bahema,Consumo Cíclico,Diversos,Serviços Educacionais
BALM3,Baumer,Saúde,Equipamentos,Equipamentos
BALM4,Baumer,Saúde,Equipamentos,Equipamentos
BAUH3,Excelsior,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BAUH4,Excelsior,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BAZA3,Amazonia,Financeiro,Intermediários Financeiros,Bancos
BBAS3,Brasil,Financeiro,Intermediários Financeiros,Bancos
BBDC3,Bradesco,Financeiro,Intermediários Financeiros,Bancos
BBDC4,Bradesco,Financeiro,Intermediários Financeiros,Bancos
BBML3,Bbmlogistica,Bens Industriais,Serviços,Serviços Diversos
BBRK3,BR Brokers,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
BBSE3,BBSeguridade,Financeiro,Previdência e Seguros,Seguradoras
BDLL3,Bardella,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BDLL4,Bardella,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BEEF3,Minerva,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BEES3,Banestes,Financeiro,Intermediários Financeiros,Bancos
BEES4,Banestes,Financeiro,Intermediários Financeiros,Bancos
BETP3B,Betapart,Outros,Outros,Outros
BGIP3,Banese,Financeiro,Intermediários Financeiros,Bancos
BGIP4,Banese,Financeiro,Intermediários Financeiros,Bancos
BHIA3,Casas Bahia,Consumo Cíclico,Comércio,Eletrodomésticos
BIDI11,Banco Inter,Financeiro,Intermediários Financeiros,Bancos
BIDI3,Banco Inter,Financeiro,Intermediários Financeiros,Bancos
BIDI4,Banco Inter,Financeiro,Intermediários Financeiros,Bancos
BIOM3,Biomm,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
